district,county,state_school_id,nces_id,school_name,school_type,is_zoned_public,is_charter,is_magnet,is_private,grades_served,address,city,zip,latitude,longitude,source_url,notes
LAKE,LAKE,350031,,BEVERLY SHORES ELEMENTARY SCHOOL,Elementary,YES,NO,,NO,,,,,,,https://www.fldoe.org/file/18534/SchoolGrades25.xlsx,School type code 01; Title I=YES; Alternative/ESE=N; coordinates pending NCES/district GIS pull.
LAKE,LAKE,350035,,LAKE SUCCESS ELEMENTARY SCHOOL,Elementary,YES,NO,,NO,,,,,,,https://www.fldoe.org/file/18534/SchoolGrades25.xlsx,School type code 01; Title I=NO; Alternative/ESE=A; coordinates pending NCES/district GIS pull.
LAKE,LAKE,350061,,EUSTIS ELEMENTARY SCHOOL,Elementary,YES,NO,,NO,,,,,,,https://www.fldoe.org/file/18534/SchoolGrades25.xlsx,School type code 01; Title I=YES; Alternative/ESE=N; coordinates pending NCES/district GIS pull.
LAKE,LAKE,350067,,SAWGRASS BAY ELEMENTARY SCHOOL,Elementary,YES,NO,,NO,,,,,,,https://www.fldoe.org/file/18534/SchoolGrades25.xlsx,School type code 01; Title I=NO; Alternative/ESE=N; coordinates pending NCES/district GIS pull.
LAKE,LAKE,350068,,GRASSY LAKE ELEMENTARY SCHOOL,Elementary,YES,NO,,NO,,,,,,,https://www.fldoe.org/file/18534/SchoolGrades25.xlsx,School type code 01; Title I=NO; Alternative/ESE=N; coordinates pending NCES/district GIS pull.
LAKE,LAKE,350069,,SORRENTO ELEMENTARY,Elementary,YES,NO,,NO,,,,,,,https://www.fldoe.org/file/18534/SchoolGrades25.xlsx,School type code 01; Title I=NO; Alternative/ESE=N; coordinates pending NCES/district GIS pull.
LAKE,LAKE,350071,,EUSTIS HEIGHTS ELEMENTARY SCHOOL,Elementary,YES,NO,,NO,,,,,,,https://www.fldoe.org/file/18534/SchoolGrades25.xlsx,School type code 01; Title I=YES; Alternative/ESE=N; coordinates pending NCES/district GIS pull.
LAKE,LAKE,350080,,EAST RIDGE MIDDLE SCHOOL,Middle/Junior,YES,NO,,NO,,,,,,,https://www.fldoe.org/file/18534/SchoolGrades25.xlsx,School type code 02; Title I=NO; Alternative/ESE=N; coordinates pending NCES/district GIS pull.
LAKE,LAKE,350081,,EUSTIS HIGH SCHOOL,Senior High,YES,NO,,NO,,,,,,,https://www.fldoe.org/file/18534/SchoolGrades25.xlsx,School type code 03; Title I=NO; Alternative/ESE=N; coordinates pending NCES/district GIS pull.
LAKE,LAKE,350101,,FRUITLAND PARK ELEMENTARY SCHOOL,Elementary,YES,NO,,NO,,,,,,,https://www.fldoe.org/file/18534/SchoolGrades25.xlsx,School type code 01; Title I=YES; Alternative/ESE=N; coordinates pending NCES/district GIS pull.
LAKE,LAKE,350113,,GRAY MIDDLE SCHOOL,Middle/Junior,YES,NO,,NO,,,,,,,https://www.fldoe.org/file/18534/SchoolGrades25.xlsx,School type code 02; Title I=NO; Alternative/ESE=N; coordinates pending NCES/district GIS pull.
LAKE,LAKE,350119,,THE VILLAGES ELEMENTARY OF LADY LAKE SCHOOL,Elementary,YES,NO,,NO,,,,,,,https://www.fldoe.org/file/18534/SchoolGrades25.xlsx,School type code 01; Title I=YES; Alternative/ESE=N; coordinates pending NCES/district GIS pull.
LAKE,LAKE,350141,,SEMINOLE SPRINGS ELEMENTARY SCHOOL,Elementary,YES,NO,,NO,,,,,,,https://www.fldoe.org/file/18534/SchoolGrades25.xlsx,School type code 01; Title I=NO; Alternative/ESE=N; coordinates pending NCES/district GIS pull.
LAKE,LAKE,350149,,ROUND LAKE CHARTER SCHOOL,Combination,NO,YES,,NO,,,,,,,https://www.fldoe.org/file/18534/SchoolGrades25.xlsx,School type code 04; Title I=NO; Alternative/ESE=N; coordinates pending NCES/district GIS pull.
