state_school_id,school_name,district,best_nces,best_score
497030,VIRTUAL PREPARATORY ACADEMY OF FLORIDA,OSCEOLA,BRIDGEPREP ACADEMY OF ST.CLOUD,0.597
537001,"K12 FLORIDA, LLC – GRADES KG-12",POLK,FRANK E. BRIGHAM ACADEMY,0.37
