PINST,PADDRS,PCITY,PSTABB,PZIP,PCNTY,LATITUDE22,LONGITUDE22,LEVEL,RELIG,PPHONE,district
PLEASANT HILL ACADEMY,PO BOX 582409,KISSIMMEE,FL,34758,097,28.162850,-81.478681,3,2,4079441378,OSCEOLA
CALVARY BAPTIST CHURCH ACADEMY,4201 OLD KATHLEEN RD,LAKELAND,FL,33810,105,28.072440,-81.957021,3,2,8636836781,POLK
CHOSEN GENERATION CHRISTIAN ACADEMY,4906 OLD PLEASANT HILL RD,KISSIMMEE,FL,34759,097,28.139250,-81.448131,3,2,4078702389,OSCEOLA
ENDTIME CHRISTIAN SCHOOL OF EXCELLENCE,555 BURNS AVE,LAKE WALES,FL,33853,105,27.898710,-81.585921,3,2,8635895283,POLK
ARBOR SCHOOL OF CENTRAL FLORIDA,3929 RED BUG LAKE RD,CASSELBERRY,FL,32707,117,28.646640,-81.274571,3,3,4073881808,SEMINOLE
LIGHTHOUSE BAPTIST ACADEMY,3834 HOWELL BRANCH RD,WINTER PARK,FL,32792,117,28.623050,-81.298771,3,2,4076783890,SEMINOLE
BETHEL CHRISTIAN ACADEMY,75 DON POLSTON DR,EAGLE LAKE,FL,33839,105,27.982480,-81.753451,1,2,8638755573,POLK
PEACE LUTHERAN SCHOOL,3249 WINDMILL POINT BLVD,KISSIMMEE,FL,34746,097,28.230980,-81.434471,3,2,4078705965,OSCEOLA
STARCHILD ACADEMY LAKE MARY,200 LONGWOOD LAKE MARY RD,LAKE MARY,FL,32746,117,28.753177,-81.334074,1,3,4073338901,SEMINOLE
WALDEN COMMUNITY SCHOOL,4595 HOWELL BRANCH RD,WINTER PARK,FL,32792,117,28.624040,-81.290771,3,3,4076778225,SEMINOLE
HEAD OF THE CLASS LEARNING CENTER,1836 KATHLEEN RD,LAKELAND,FL,33805,105,28.070640,-81.984731,1,3,8636824252,POLK
FAMILY CHRISTIAN CENTER SCHOOL,2500 S HWY 27,CLERMONT,FL,34711,069,28.534550,-81.737441,3,2,3522421895,LAKE
ALPINE ACADEMY,848 EXECUTIVE DR,OVIEDO,FL,32765,117,28.665150,-81.222151,3,3,4076788889,SEMINOLE
COOPERATIVE SCHOOL AT NORTHLAND,530 DOG TRACK RD,LONGWOOD,FL,32750,117,28.685290,-81.336231,1,2,4079497179,SEMINOLE
OSCEOLA CHRISTIAN PREPARATORY SCHOOL,1515 MICHIGAN AVE,KISSIMMEE,FL,34744,097,28.305750,-81.390841,3,2,4074379151,OSCEOLA
BAINBRIDGE ACADEMY,1486 SWANSON DR,OVIEDO,FL,32765,117,28.657550,-81.182571,3,3,4073657762,SEMINOLE
CANAAN ACADEMY,640 S SCENIC HWY,LAKE WALES,FL,33853,105,27.900033,-81.596829,1,2,8636765356,POLK
CHRYSALIS SCHOOL INC,1173 SPRING CENTRE S BLVD STE B,ALTAMONTE SPRINGS,FL,32714,117,28.686315,-81.392699,3,3,9132142241,SEMINOLE
HEATHROW CHRISTIAN ACADEMY,5210 MARKHAM WOODS RD,LAKE MARY,FL,32746,117,28.775620,-81.382911,1,2,4073332045,SEMINOLE
REVIVAL FIRE CHRISTIAN ACADEMY,525 S RONALD REAGAN BLVD STE 113,LONGWOOD,FL,32750,117,28.691880,-81.345521,3,2,3219728878,SEMINOLE
STARCHILD ACADEMY,961 EASTBRIDGE DR,OVIEDO,FL,32765,117,28.657670,-81.184041,1,3,4079778989,SEMINOLE
ROBERTS ACADEMY AT FLORIDA SOUTHERN COLLEGE,1140 FRANK LLOYD WRIGHT WAY,LAKELAND,FL,33801,105,28.032930,-81.941281,1,3,8636803741,POLK
BEAR LAKE MONTESSORI ACADEMY,843 N SR. 434,ALTAMONTE SPRINGS,FL,32714,117,28.678230,-81.418694,1,3,4077862255,SEMINOLE
KINGDOM KIDS CHRISTIAN ACADEMY,1003 S JOHN YOUNG PKWY,KISSIMMEE,FL,34741,097,28.281140,-81.414911,1,2,4073469136,OSCEOLA
LEARNING TRAILS,660 CELEBRATION AVE STE 150,CELEBRATION,FL,34747,097,28.319100,-81.539941,1,3,4075661340,OSCEOLA
PHA PREPARATORY SCHOOL,PO BOX 582409,KISSIMMEE,FL,34758,097,28.162850,-81.478681,3,2,4079441378,OSCEOLA
"LAKE PREPARATORY SCHOOL, INC.",16430 COUNTY LINE RD,UMATILLA,FL,32784,069,28.811466,-81.880317,1,3,3527870686,LAKE
ADVANCE LEARNING ACADEMY,140 ADVANCE PT,MAITLAND,FL,32751,117,28.644691,-81.351778,3,3,3213164860,SEMINOLE
BEAR LAKE CHRISTIAN ACADEMY,1251 BEAR LAKE RD,APOPKA,FL,32703,117,28.660820,-81.443571,3,2,4072706691,SEMINOLE
BRILLIANT MINDS EARLY LEARNING ACADEMY,5900 SUNDANCE BLVD,MULBERRY,FL,33860,105,27.937956,-81.994597,1,2,8636466444,POLK
CITY CHURCH ACADEMY,1701 S ORANGE BLVD,SANFORD,FL,32771,117,28.798974,-81.362084,1,2,4073219690,SEMINOLE
CREATION VILLAGE WORLD SCHOOL,599 CELEBRATION PL,CELEBRATION,FL,34747,097,28.327390,-81.548471,1,2,4079002582,OSCEOLA
FREEDOMLAND CHRISTIAN ACADEMY,1210 N MAIN ST,KISSIMMEE,FL,34744,097,28.302940,-81.404351,3,2,4079359088,OSCEOLA
GATEWAY CHRISTIAN SCHOOL,18440 US HIGHWAY 441,MOUNT DORA,FL,32757,069,28.823180,-81.652251,1,2,3523839920,LAKE
IBCK EDUCATIONAL CENTER,2275 FORTUNE RD,KISSIMMEE,FL,34744,097,28.305817,-81.351336,3,2,4077506139,OSCEOLA
INTEGRITY CHRISTIAN ACADEMY #6889,7432 STATE ROAD 50 STE 109,GROVELAND,FL,34736,069,28.557040,-81.831541,3,2,3524294402,LAKE
INTERNATIONAL SCHOOL FOR AUTISM/GLOBAL LEADERS ACA,3501 W VINE ST STE 105,KISSIMMEE,FL,34741,097,28.305970,-81.438851,3,2,4079444490,OSCEOLA
