NCESSCH,NAME,district,STREET,CITY,STATE,ZIP,LAT,LON,CNTY,NMCNTY,LOCALE
120105004105,PINE RIDGE ELEMENTARY SCHOOL,LAKE,10245 COUNTY ROAD 561,CLERMONT,FL,34711,28.495628,-81.786718,12069,Lake County,21
120105004364,ROUND LAKE ELEMENTARY SCHOOL,LAKE,31333 ROUND LAKE RD,MOUNT DORA,FL,32757,28.805425,-81.59425,12069,Lake County,41
120105004365,UMATILLA ELEMENTARY SCHOOL,LAKE,401 LAKE ST,UMATILLA,FL,32784,28.937414,-81.671967,12069,Lake County,22
120105005598,IMAGINE SCHOOLS AT SOUTH LAKE,LAKE,2750 HARTWOOD MARSH RD,CLERMONT,FL,34711,28.500863,-81.703937,12069,Lake County,21
120105006998,GRASSY LAKE ELEMENTARY SCHOOL,LAKE,1100 FOSGATE RD,MINNEOLA,FL,34715,28.583957,-81.729389,12069,Lake County,21
120105007239,EAST RIDGE MIDDLE SCHOOL,LAKE,13201 EXCALIBUR RD,CLERMONT,FL,34711,28.538573,-81.719881,12069,Lake County,21
120105007372,SAWGRASS BAY ELEMENTARY SCHOOL,LAKE,16325 SUPERIOR BLVD,CLERMONT,FL,34714,28.404916,-81.687684,12069,Lake County,23
120105007655,SORRENTO ELEMENTARY,LAKE,24605 WALLICK RD,SORRENTO,FL,32776,28.816374,-81.550119,12069,Lake County,41
120105007681,LAKE VIRTUAL INSTRUCTION PROGRAM,LAKE,200 W GOLF LINKS AVE,EUSTIS,FL,32726,28.835929,-81.688387,12069,Lake County,22
120105007689,LAKE MINNEOLA HIGH SCHOOL,LAKE,101 N HANCOCK RD,MINNEOLA,FL,34715,28.580992,-81.722204,12069,Lake County,41
120105007880,LAKE VIRTUAL FRANCHISE,LAKE,200 W GOLF LINKS AVE,EUSTIS,FL,32726,28.835929,-81.688387,12069,Lake County,22
120105007924,NON SCHOOL PK,LAKE,201 W BURLEIGH BLVD,TAVARES,FL,32778,28.811483,-81.729254,12069,Lake County,22
120105008311,LAKE VIRTUAL INSTRUCTION PROGRAM (DISTRICT PROVIDED),LAKE,200 W GOLF LINKS AVE,EUSTIS,FL,32726,28.835929,-81.688387,12069,Lake County,22
120105008588,PINECREST LAKES ACADEMY,LAKE,14012 OLD HIGHWAY 50,MINNEOLA,FL,34711,28.569725,-81.722823,12069,Lake County,21
120105008819,PINECREST ACADEMY FOUR CORNERS,LAKE,6340 SUNSET DR,MIAMI,FL,33143,28.362674,-81.678459,12069,Lake County,23
120105008829,LAKE SUCCESS ACADEMY,LAKE,525 N GEORGIA AVE,HOWEY IIN THE HILLS,FL,34737,28.716473,-81.778889,12069,Lake County,22
120105008894,PINECREST ACADEMY TAVARES,LAKE,2550 HUFFSTETLER DR,TAVARES,FL,32778,28.825829,-81.706665,12069,Lake County,22
120105008895,PINECREST LAKES MIDDLE/HIGH ACADEMY,LAKE,1250 N HANCOCK RD.,CLERMONT,FL,34711,28.55188,-81.708293,12069,Lake County,21
120105008934,LAKE POINTE ACADEMY,LAKE,801 CAGAN VIEW RD,CLERMONT,FL,34714,28.360566,-81.674678,12069,Lake County,23
120105008935,HOPE FOREST ACADEMY,LAKE,46821 JANE LANE,PAISLEY,FL,32767,29.03119,-81.479061,12069,Lake County,42
120105009018,AURELIA M. COLE ACADEMY,LAKE,301 EAST AVENUE,CLERMONT,FL,34711,28.558857,-81.755052,12069,Lake County,21
120105010673,THE ACADEMY AT LAKE HILLS SCHOOL- SOUTH,LAKE,513 ALBROOK STREET,MASCOTTE,FL,34753,28.571013,-81.883589,12069,Lake County,21
120105010775,LAKE SUCCESS ELEMENTARY SCHOOL,LAKE,310 W TAYLOR AVE,EUSTIS,FL,32726,28.839152,-81.688586,12069,Lake County,22
120105010776,LINCOLN PARK EDUCATION CENTER,LAKE,680 E HIGHLAND AVE,CLEMONT,FL,34711,28.552236,-81.746346,12069,Lake County,21
120147000913,CYPRESS ELEMENTARY SCHOOL,OSCEOLA,2251 LAKESIDE DR,KISSIMMEE,FL,34743,28.311722,-81.351308,12097,Osceola County,13
120147000920,ZENITH ACCELERATED ACADEMY,OSCEOLA,2218 E IRLO BRONSON MEMORIAL HWY,KISSIMMEE,FL,34744,28.283941,-81.355853,12097,Osceola County,21
120147001468,HIGHLANDS ELEMENTARY SCHOOL,OSCEOLA,800 W DONEGAN AVE,KISSIMMEE,FL,34741,28.317864,-81.410527,12097,Osceola County,13
120147001469,OSCEOLA HIGH SCHOOL,OSCEOLA,420 S THACKER AVE,KISSIMMEE,FL,34741,28.288272,-81.426549,12097,Osceola County,13
120147001470,DENN JOHN MIDDLE SCHOOL,OSCEOLA,2001 DENN JOHN LN,KISSIMMEE,FL,34744,28.310571,-81.376543,12097,Osceola County,13
120147001471,THACKER AVENUE ELEMENTARY FOR INTERNATIONAL STUDIES,OSCEOLA,301 N THACKER AVE,KISSIMMEE,FL,34741,28.29529,-81.42308,12097,Osceola County,13
