state_school_id,school_name,nces_id,district,county,school_type,latitude,longitude,geocode_address
350597,CYPRESS RIDGE ELEMENTARY SCHOOL,120105003074,LAKE,LAKE,Elementary,28.559377,-81.757012,"350 EAST AVE, CLERMONT, FL 34711"
350631,SPRING CREEK CHARTER SCHOOL,120105001702,LAKE,LAKE,Combination,28.995365,-81.541992,"44440 SPRING CREEK RD, PAISLEY, FL 32767"
350697,EUSTIS MIDDLE SCHOOL,120105003195,LAKE,LAKE,Middle/Junior,28.859487,-81.645381,"18725 BATES AVE, EUSTIS, FL 32736"
350701,SOUTH LAKE HIGH SCHOOL,120105001714,LAKE,LAKE,Senior High,28.574162,-81.816533,"15600 SILVER EAGLE RD, GROVELAND, FL 34736"
350801,EAST RIDGE HIGH SCHOOL,120105003868,LAKE,LAKE,Senior High,28.538869,-81.714007,"13322 EXCALIBUR RD, CLERMONT, FL 34711"
350901,LAKE MINNEOLA HIGH SCHOOL,120105007689,LAKE,LAKE,Senior High,28.580992,-81.722204,"101 N HANCOCK RD, MINNEOLA, FL 34715"
357004,LAKE VIRTUAL FRANCHISE,120105007880,LAKE,LAKE,Combination,28.835929,-81.688387,"200 W GOLF LINKS AVE, EUSTIS, FL 32726"
359027,PINECREST ACADEMY FOUR CORNERS,120105008819,LAKE,LAKE,Combination,28.362674,-81.678459,"6340 SUNSET DR, MIAMI, FL 33143"
359028,ALTOONA SCHOOL,120105003984,LAKE,LAKE,Elementary,28.969846,-81.646814,"42630 STATE ROAD 19, ALTOONA, FL 32702"
359031,IMAGINE SCHOOLS AT SOUTH LAKE,120105005598,LAKE,LAKE,Combination,28.500863,-81.703937,"2750 HARTWOOD MARSH RD, CLERMONT, FL 34711"
359039,PINECREST ACADEMY TAVARES,120105008894,LAKE,LAKE,Combination,28.825829,-81.706665,"2550 HUFFSTETLER DR, TAVARES, FL 32778"
359041,PINECREST LAKES ACADEMY,120105008588,LAKE,LAKE,Combination,28.569725,-81.722823,"14012 OLD HIGHWAY 50, MINNEOLA, FL 34711"
359061,PINECREST LAKES MIDDLE/HIGH ACADEMY,120105008895,LAKE,LAKE,Senior High,28.55188,-81.708293,"1250 N HANCOCK RD., CLERMONT, FL 34711"
490005,TOHOPEKALIGA HIGH SCHOOL,120147008622,OSCEOLA,OSCEOLA,Senior High,28.334639,-81.292876,"3675 BOGGY CREEK RD, KISSIMMEE, FL 34744"
490011,HARMONY COMMUNITY SCHOOL,120147007630,OSCEOLA,OSCEOLA,Elementary,28.201556,-81.154042,"3365 SCHOOLHOUSE RD, HARMONY, FL 34773"
490040,NARCOOSSEE MIDDLE SCHOOL,120147003632,OSCEOLA,OSCEOLA,Middle/Junior,28.327651,-81.23566,"2700 N NARCOOSSEE RD, SAINT CLOUD, FL 34771"
490041,DISCOVERY INTERMEDIATE SCHOOL,120147003633,OSCEOLA,OSCEOLA,Middle/Junior,28.169814,-81.498426,"5350 SAN MIGUEL RD, KISSIMMEE, FL 34758"
490042,KISSIMMEE ELEMENTARY SCHOOL,120147004398,OSCEOLA,OSCEOLA,Elementary,28.316443,-81.440468,"3700 W DONEGAN AVE, KISSIMMEE, FL 34741"
490043,NARCOOSSEE ELEMENTARY SCHOOL,120147007498,OSCEOLA,OSCEOLA,Elementary,28.3264,-81.234,"2690 N NARCOOSSEE RD, SAINT CLOUD, FL 34771"
490061,CENTRAL AVENUE ELEMENTARY SCHOOL,120147003749,OSCEOLA,OSCEOLA,Elementary,28.306876,-81.409037,"500 W COLUMBIA AVE, KISSIMMEE, FL 34741"
490071,HIGHLANDS ELEMENTARY SCHOOL,120147001468,OSCEOLA,OSCEOLA,Elementary,28.317864,-81.410527,"800 W DONEGAN AVE, KISSIMMEE, FL 34741"
490081,OSCEOLA HIGH SCHOOL,120147001469,OSCEOLA,OSCEOLA,Senior High,28.288272,-81.426549,"420 S THACKER AVE, KISSIMMEE, FL 34741"
490091,DENN JOHN MIDDLE SCHOOL,120147001470,OSCEOLA,OSCEOLA,Middle/Junior,28.310571,-81.376543,"2001 DENN JOHN LN, KISSIMMEE, FL 34744"
490101,THACKER AVENUE ELEMENTARY FOR INTERNATIONAL STUDIES,120147001471,OSCEOLA,OSCEOLA,Elementary,28.29529,-81.42308,"301 N THACKER AVE, KISSIMMEE, FL 34741"
